Vocals, Drums, Claps, Zero-Crossing, Centroid, Roll Off, Flux
1,1,0,0.080853,0.073118,0.126186,0.102234
1,0,1,0.046868,0.042017,0.060383,0.099496
1,1,0,0.042731,0.037839,0.064570,0.107210
1,1,1,0.075594,0.058363,0.142810,0.101709
1,1,1,0.065230,0.056114,0.119049,0.083711
1,1,0,0.063094,0.058562,0.145535,0.078757
1,1,1,0.109568,0.093132,0.191023,0.104032
1,0,0,0.048580,0.034517,0.074979,0.097766
1,0,0,0.139913,0.119660,0.229540,0.094353
1,1,0,0.023671,0.016363,0.471336,0.108344
1,0,0,0.062703,0.048894,0.108130,0.099677
1,1,0,0.028820,0.023497,0.316130,0.120975
1,0,1,0.087905,0.064666,0.143386,0.103530
1,1,1,0.048411,0.040312,0.087804,0.108701
1,1,0,0.026665,0.017098,0.097730,0.094787
1,0,1,0.079831,0.059379,0.116645,0.091872
1,0,0,0.030149,0.025740,0.040437,0.112670
1,1,1,0.123437,0.105675,0.208676,0.101457
1,1,1,0.048260,0.041022,0.065578,0.104215
1,0,1,0.073871,0.069832,0.127119,0.100887
1,0,1,0.128586,0.105428,0.210633,0.095119
1,0,0,0.129513,0.114998,0.182178,0.097971
0,1,0,0.057938,0.059086,0.105795,0.080628
1,0,1,0.057065,0.046799,0.081698,0.098557
1,0,1,0.061381,0.050137,0.087632,0.098727
1,1,0,0.077089,0.063300,0.127690,0.108427
1,1,1,0.059853,0.051724,0.082011,0.104158
1,0,1,0.049857,0.041491,0.090786,0.096593
1,0,1,0.039775,0.034718,0.053321,0.097691
1,0,0,0.025068,0.047632,0.094271,0.080846
1,0,1,0.079629,0.058530,0.119382,0.094707
1,1,0,0.013499,0.009993,0.238945,0.124951
1,0,0,0.034095,0.023437,0.048891,0.103381
1,1,1,0.097947,0.088173,0.194075,0.077647
1,1,0,0.020603,0.017889,0.020934,0.107533
1,1,1,0.045092,0.038462,0.082254,0.101609
1,0,0,0.033954,0.028887,0.038707,0.091885
1,1,0,0.035636,0.027282,0.063954,0.102920
1,0,1,0.090915,0.064901,0.147593,0.098882
1,0,1,0.184984,0.156063,0.299130,0.094520
1,0,1,0.040144,0.036905,0.053773,0.098627
1,1,1,0.038571,0.032363,0.047397,0.097106
1,0,0,0.042752,0.051646,0.105593,0.077186
1,1,1,0.030690,0.025630,0.051323,0.116205
1,0,1,0.047999,0.040595,0.060842,0.101254
1,1,1,0.030823,0.023624,0.056821,0.109509
1,1,1,0.026889,0.022386,0.052750,0.106486
1,1,1,0.028012,0.022143,0.131882,0.098530
1,0,1,0.030427,0.024594,0.048597,0.107310
1,0,1,0.049683,0.042763,0.073422,0.096536
1,1,0,0.045585,0.035840,0.068496,0.098363
1,0,1,0.076996,0.062836,0.123927,0.104480
1,1,1,0.079524,0.062112,0.146396,0.103442
1,1,1,0.065377,0.047705,0.139198,0.101531
1,0,1,0.054547,0.044902,0.084220,0.095299
1,0,1,0.041370,0.034344,0.064920,0.094765
1,0,0,0.024476,0.019774,0.028561,0.097475
1,1,0,0.104814,0.081846,0.171697,0.100836
1,0,1,0.056124,0.048037,0.096869,0.101424
1,1,1,0.097518,0.105304,0.193992,0.077105
1,0,0,0.017721,0.014792,0.028299,0.113784
1,1,0,0.145384,0.118619,0.244595,0.097499
1,0,1,0.109190,0.088262,0.191349,0.103873
1,0,1,0.039273,0.032905,0.077316,0.104533
1,0,1,0.075146,0.061897,0.124937,0.102664
1,0,1,0.044621,0.038010,0.064272,0.099588
1,0,0,0.049765,0.036982,0.087092,0.097706
1,0,1,0.116254,0.096917,0.189221,0.098336
1,1,0,0.031219,0.022063,0.164557,0.100626
1,1,0,0.043776,0.034664,0.057225,0.095006
1,1,1,0.048238,0.041342,0.186501,0.100009
1,0,1,0.045578,0.039005,0.062872,0.103317
1,0,0,0.041638,0.033160,0.058917,0.098393
1,0,1,0.030600,0.023254,0.053810,0.103850
1,1,0,0.041659,0.032994,0.061906,0.105730
1,0,1,0.055855,0.050280,0.075218,0.108436
1,1,0,0.098343,0.086620,0.193243,0.078257
1,0,0,0.018762,0.012381,0.079813,0.117395
1,1,1,0.015018,0.013414,0.030944,0.104605
1,1,1,0.028245,0.021619,0.453599,0.113501
1,0,0,0.029861,0.025445,0.048424,0.103866
1,0,1,0.049279,0.042364,0.065642,0.095152
1,0,1,0.139941,0.122637,0.171159,0.096551
1,0,1,0.052607,0.041944,0.081369,0.097989
1,0,0,0.025758,0.048303,0.082441,0.080302
1,1,1,0.060313,0.052429,0.101879,0.094114
1,1,0,0.168065,0.162098,0.262940,0.077537
1,1,1,0.055762,0.037826,0.108388,0.095928
1,1,0,0.070259,0.062959,0.122884,0.100070
1,1,0,0.057447,0.064937,0.137198,0.078156
1,0,0,0.106349,0.131740,0.232294,0.081580
1,0,0,0.068907,0.090482,0.198554,0.082524
1,1,0,0.060004,0.089647,0.194075,0.078140
1,1,0,0.113968,0.119641,0.207927,0.077750
1,0,1,0.072405,0.069024,0.123324,0.042455
1,1,1,0.065572,0.053246,0.104951,0.096051
1,0,1,0.033508,0.030047,0.045052,0.104434
1,1,1,0.043822,0.050436,0.113424,0.078480
1,1,0,0.071127,0.064203,0.154036,0.078983
0,0,1,0.018564,0.013933,0.174458,0.110149
1,0,0,0.038544,0.033361,0.061349,0.107612
1,0,1,0.058932,0.051196,0.087116,0.098098
1,1,0,0.036827,0.030488,0.078148,0.096224
1,0,1,0.061648,0.051725,0.082042,0.096973
1,0,0,0.054270,0.041025,0.164253,0.094858
1,1,0,0.022532,0.020250,0.031724,0.108616
1,1,0,0.042764,0.034522,0.061283,0.099896
1,0,1,0.057357,0.049010,0.091847,0.097961
1,1,1,0.079956,0.066413,0.138685,0.102772
0,1,0,0.126036,0.119537,0.286148,0.084821
1,0,0,0.052856,0.051156,0.084211,0.105240
1,0,0,0.065313,0.056589,0.122333,0.093955
1,0,0,0.054173,0.048157,0.093919,0.097395
1,1,1,0.038850,0.033353,0.058164,0.104694
1,1,1,0.060176,0.047793,0.090268,0.098214
1,0,0,0.029650,0.024081,0.047345,0.100499
1,0,1,0.028369,0.024489,0.058270,0.103376
1,1,1,0.067520,0.055926,0.104675,0.097471
1,0,0,0.034716,0.031274,0.039818,0.097404
1,1,1,0.058530,0.052776,0.079585,0.107636
1,0,1,0.037078,0.033866,0.064300,0.105202
1,0,0,0.033932,0.026874,0.037310,0.097251
1,0,1,0.056281,0.047461,0.080160,0.091281
1,1,1,0.090408,0.080811,0.173187,0.096190
1,0,1,0.084214,0.088659,0.155824,0.100831
1,1,1,0.034951,0.031400,0.107532,0.102539
1,1,1,0.076797,0.059638,0.146593,0.100776
1,0,1,0.039333,0.034600,0.049381,0.094094
0,1,0,0.021646,0.016049,0.038998,0.111795
1,1,0,0.063003,0.049612,0.109571,0.100809
1,0,0,0.036154,0.029124,0.060411,0.099445
1,1,1,0.091614,0.099810,0.193018,0.079501
1,1,1,0.035034,0.027824,0.092053,0.105739
1,0,1,0.043300,0.035606,0.071621,0.099131
1,0,0,0.033623,0.030506,0.038689,0.100598
1,1,0,0.036969,0.029764,0.050084,0.102841
1,0,1,0.083842,0.066214,0.140219,0.105825
1,1,1,0.027432,0.020241,0.161508,0.111502
1,1,1,0.057067,0.048980,0.080704,0.099573
1,0,1,0.073831,0.061067,0.101013,0.096253
1,0,1,0.059920,0.049803,0.088563,0.094506
1,0,1,0.041992,0.034509,0.067901,0.095567
0,1,0,0.020775,0.015339,0.073667,0.108306
1,1,1,0.164084,0.153514,0.301561,0.088253
1,1,0,0.039582,0.031696,0.051906,0.103855
1,0,0,0.074675,0.060380,0.124554,0.095900
1,0,1,0.036292,0.031944,0.078492,0.095323
1,0,0,0.044312,0.032007,0.062136,0.093306
1,0,0,0.058379,0.050053,0.092124,0.094298
1,1,1,0.062241,0.054150,0.087710,0.097765
1,1,1,0.052054,0.046429,0.087864,0.103810
1,0,0,0.025430,0.040004,0.066119,0.080589
1,0,0,0.077535,0.066268,0.138630,0.106605
1,1,0,0.109955,0.090254,0.188049,0.102047
1,1,0,0.109095,0.122484,0.214622,0.075826
1,0,0,0.120181,0.098520,0.197593,0.096276
1,1,1,0.025979,0.022299,0.027286,0.115482
1,1,1,0.051336,0.051056,0.099440,0.082202
1,1,0,0.060728,0.058217,0.143139,0.078121
1,1,1,0.057276,0.047934,0.102119,0.105776
1,0,1,0.033926,0.027798,0.039301,0.103587
1,1,0,0.029893,0.020315,0.033165,0.100385
1,1,1,0.038614,0.029524,0.053845,0.098580
1,1,1,0.062180,0.051428,0.086345,0.096465
1,1,1,0.053427,0.041797,0.075545,0.102932
1,0,1,0.048579,0.038030,0.106914,0.097509
1,0,0,0.058872,0.045213,0.108504,0.098399
1,0,0,0.104697,0.072737,0.194648,0.097884
1,0,1,0.070729,0.063333,0.106991,0.099870
1,0,1,0.040623,0.037510,0.052193,0.095997
1,0,0,0.036019,0.028345,0.061473,0.102180
1,1,0,0.099739,0.095218,0.235461,0.083459
1,0,1,0.027074,0.020862,0.049429,0.099782
1,0,1,0.036109,0.028085,0.226169,0.101106
1,1,0,0.067703,0.056692,0.117453,0.105801
1,0,0,0.051865,0.046401,0.079128,0.106471
1,0,0,0.047288,0.042145,0.065770,0.102157
1,0,0,0.043615,0.054344,0.104319,0.079515
1,0,0,0.043706,0.037988,0.061397,0.096145
1,0,1,0.035835,0.029342,0.059373,0.101274
1,0,0,0.048313,0.042609,0.068394,0.095503
1,0,0,0.058425,0.048895,0.083518,0.104712
1,0,1,0.056737,0.044900,0.084674,0.098141
1,0,1,0.075693,0.065547,0.128334,0.099416
1,1,1,0.058629,0.038922,0.097431,0.092851
1,0,0,0.065206,0.074762,0.149929,0.081922
1,1,1,0.052155,0.042539,0.093271,0.098041
1,0,0,0.039390,0.031893,0.054021,0.100612
1,0,1,0.046926,0.028287,0.101134,0.087492
1,0,1,0.055521,0.048699,0.082287,0.105354
1,0,1,0.079645,0.068666,0.123197,0.099562
1,0,1,0.032066,0.026912,0.043755,0.116353
1,1,1,0.094806,0.082556,0.147493,0.108304
1,0,0,0.054281,0.046999,0.077670,0.097317
1,1,1,0.036001,0.028448,0.125969,0.107495
1,1,1,0.083942,0.067863,0.153781,0.102523
1,0,1,0.138127,0.122072,0.206130,0.097409
1,1,0,0.128545,0.124978,0.233845,0.077845
1,0,1,0.033772,0.042134,0.079680,0.100730
1,1,0,0.072518,0.059019,0.117235,0.105588
1,0,1,0.062718,0.053534,0.102959,0.101421
1,0,1,0.042949,0.035640,0.058030,0.096954
1,1,1,0.136522,0.127215,0.280395,0.080567
1,1,1,0.195223,0.182964,0.392785,0.084034
1,1,1,0.092937,0.088513,0.217952,0.076528
1,0,1,0.057651,0.051981,0.080686,0.101951
1,0,1,0.033630,0.026432,0.061009,0.099681
1,0,0,0.060269,0.050084,0.131176,0.091621
1,0,0,0.044716,0.037494,0.057811,0.101245
1,0,0,0.052800,0.048112,0.079027,0.115208
1,0,0,0.029597,0.020444,0.033154,0.094125
1,0,0,0.058114,0.064818,0.113668,0.080507
1,0,0,0.095510,0.067064,0.186195,0.092592
1,0,0,0.027824,0.021375,0.069769,0.096398
1,1,1,0.027438,0.021416,0.164527,0.105282
1,0,0,0.059895,0.049696,0.153468,0.102081
1,0,1,0.042054,0.037320,0.055126,0.092870
1,0,1,0.042849,0.034372,0.066641,0.099500
1,0,0,0.064275,0.057981,0.095398,0.094189
1,1,1,0.110326,0.109003,0.239806,0.081030
1,0,1,0.054358,0.046363,0.078372,0.098286
1,1,0,0.088270,0.066048,0.151421,0.099260
1,0,1,0.029661,0.024869,0.053476,0.098878
1,0,1,0.048847,0.042408,0.069553,0.105181
1,0,0,0.034708,0.027521,0.047680,0.102741
1,0,1,0.054344,0.047298,0.076208,0.095492
1,0,0,0.033576,0.026550,0.038818,0.103068
0,1,0,0.074775,0.072298,0.146946,0.081969
1,0,1,0.024342,0.020454,0.034578,0.091809
1,0,1,0.045762,0.036206,0.058287,0.101164
1,0,1,0.050145,0.043061,0.069079,0.103985
1,1,0,0.097805,0.093763,0.184173,0.076550
1,0,1,0.083886,0.074268,0.122210,0.093364
1,1,1,0.046668,0.036815,0.078951,0.110116
1,0,1,0.057273,0.047930,0.086448,0.095709
1,0,1,0.091569,0.068485,0.131387,0.098439
1,0,1,0.067151,0.058657,0.101743,0.097643
1,0,0,0.045142,0.035374,0.088240,0.096426
1,0,1,0.058468,0.053265,0.079658,0.099163
1,0,0,0.055630,0.049649,0.084472,0.098339
1,0,1,0.056976,0.048789,0.088168,0.103103
1,0,0,0.066764,0.100914,0.190578,0.079778
1,0,0,0.055039,0.047178,0.085499,0.102938
1,0,1,0.063161,0.052014,0.095243,0.095595
1,0,1,0.041124,0.030772,0.067288,0.094005
1,1,1,0.052479,0.041196,0.077165,0.091370
1,0,0,0.029532,0.023756,0.036116,0.100026
1,1,1,0.022077,0.017970,0.025279,0.097519
1,0,1,0.045511,0.040345,0.058839,0.096488
1,1,0,0.053186,0.046069,0.072472,0.096895
1,1,0,0.048855,0.042631,0.074286,0.097076
1,0,1,0.071549,0.060537,0.113711,0.100365
1,1,1,0.379282,0.375085,0.532308,0.078779
1,1,1,0.046293,0.036129,0.133272,0.105841
1,0,0,0.085641,0.074188,0.104843,0.101151
1,0,1,0.073938,0.065774,0.125284,0.095808
1,0,1,0.051594,0.045451,0.075626,0.103792
1,0,0,0.031856,0.025927,0.042380,0.101895
1,0,0,0.037528,0.031951,0.056454,0.100852
1,0,1,0.033462,0.024403,0.041644,0.115447
1,0,1,0.061395,0.042426,0.116930,0.096146
1,0,0,0.045589,0.055468,0.107749,0.079255
1,1,0,0.013017,0.009302,0.125139,0.113421
1,1,1,0.050746,0.042893,0.072074,0.093373
1,0,0,0.059814,0.053793,0.095108,0.107615
1,0,1,0.087144,0.080832,0.169384,0.103459
1,0,0,0.035390,0.030465,0.057249,0.099138
1,0,0,0.039565,0.031461,0.058000,0.096733
1,0,0,0.058190,0.050804,0.076646,0.105828
1,0,0,0.036882,0.023556,0.113810,0.090496
1,0,1,0.029553,0.025344,0.038944,0.094590
1,1,0,0.033378,0.026548,0.037377,0.097277
